INSERT INTO operationrechargement (dateheuredebut,dateheurefin,idcontrole,idborne,nbkwheures) VALUES
("Controle echoue sur le controle n°1",2018,8,14,12,48,3),
("Controle echoue sur le controle n°3",2021,5,24,1,53,4),
("Controle echoue sur le controle n°1",2018,5,23,1,53,3),
("Controle echoue sur le controle n°2",2019,1,15,20,56,1),
("Controle echoue sur le controle n°2",2019,8,6,5,56,1),
("Controle echoue sur le controle n°2",2021,4,28,5,56,1),
("Controle echoue sur le controle n°1",2022,12,2,21,56,3),
("Controle echoue sur le controle n°2",2018,10,15,2,61,1),
("Controle echoue sur le controle n°1",2018,10,2,19,61,3),
("Controle echoue sur le controle n°3",2018,1,21,8,62,4),
("Controle echoue sur le controle n°1",2019,4,22,20,62,3),
("Controle echoue sur le controle n°2",2021,9,12,16,62,1),
("Controle echoue sur le controle n°2",2021,1,27,20,2,1),
("Controle echoue sur le controle n°2",2018,12,26,22,2,1),
("Controle echoue sur le controle n°1",2022,12,18,2,2,3),
("Controle echoue sur le controle n°3",2021,8,3,6,2,4),
("Controle echoue sur le controle n°1",2018,1,3,10,7,3),
("Controle echoue sur le controle n°2",2019,2,2,13,7,1),
("Controle echoue sur le controle n°1",2020,7,13,11,8,3),
("Controle echoue sur le controle n°3",2022,1,20,22,8,4),
("Controle echoue sur le controle n°1",2018,8,14,13,8,3),
("Controle echoue sur le controle n°3",2022,7,6,1,8,4),
("Controle echoue sur le controle n°3",2022,10,27,21,11,4),
("Controle echoue sur le controle n°3",2018,6,15,9,11,4),
("Controle echoue sur le controle n°3",2019,5,27,7,11,4),
("Controle echoue sur le controle n°1",2022,3,16,15,14,3),
("Controle echoue sur le controle n°3",2020,7,3,19,14,4),
("Controle echoue sur le controle n°3",2022,2,10,12,14,4),
("Controle echoue sur le controle n°2",2019,9,5,9,14,1),
("Controle echoue sur le controle n°2",2021,3,12,5,16,1),
("Controle echoue sur le controle n°2",2018,3,27,2,16,1),
("Controle echoue sur le controle n°3",2019,11,19,1,16,4),
("Controle echoue sur le controle n°1",2019,12,25,22,19,3),
("Controle echoue sur le controle n°2",2019,5,24,7,19,1),
("Controle echoue sur le controle n°1",2020,6,4,15,19,3),
("Controle echoue sur le controle n°2",2019,9,13,21,21,1),
("Controle echoue sur le controle n°1",2019,8,24,6,21,3),
("Controle echoue sur le controle n°1",2022,10,28,18,21,3),
("Controle echoue sur le controle n°3",2020,7,22,14,23,4),
("Controle echoue sur le controle n°2",2019,1,7,11,23,1),
("Controle echoue sur le controle n°3",2019,12,22,18,27,4),
("Controle echoue sur le controle n°1",2021,3,9,12,27,3),
("Controle echoue sur le controle n°2",2019,10,18,14,29,1),
("Controle echoue sur le controle n°1",2022,11,2,7,29,3),
("Controle echoue sur le controle n°3",2021,11,10,16,29,4),
("Controle echoue sur le controle n°3",2021,1,10,15,29,4),
("Controle echoue sur le controle n°3",2021,2,16,13,31,4),
("Controle echoue sur le controle n°1",2020,12,16,7,31,3),
("Controle echoue sur le controle n°3",2020,4,17,5,31,4),
("Controle echoue sur le controle n°3",2019,10,2,3,31,4),
("Controle echoue sur le controle n°3",2019,12,5,12,32,4),
("Controle echoue sur le controle n°2",2019,6,23,1,32,1),
("Controle echoue sur le controle n°3",2018,8,13,21,32,4),
("Controle echoue sur le controle n°3",2022,3,28,1,35,4),
("Controle echoue sur le controle n°3",2021,12,20,21,35,4),
("Controle echoue sur le controle n°3",2020,6,21,7,35,4),
("Controle echoue sur le controle n°3",2018,6,6,4,35,4),
("Controle echoue sur le controle n°3",2022,11,28,17,35,4),
("Controle echoue sur le controle n°3",2021,2,11,15,37,4),
("Controle echoue sur le controle n°2",2022,11,16,20,39,1),
("Controle echoue sur le controle n°3",2022,1,12,4,39,4),
("Controle echoue sur le controle n°2",2020,12,7,15,42,1),
("Controle echoue sur le controle n°2",2018,1,26,10,42,1),
("Controle echoue sur le controle n°1",2022,9,10,9,42,3),
("Controle echoue sur le controle n°2",2021,5,20,23,42,1),
("Controle echoue sur le controle n°3",2022,3,8,1,44,4),
("Controle echoue sur le controle n°2",2018,11,15,1,44,1),
("Controle echoue sur le controle n°3",2018,9,10,16,44,4),
("Controle echoue sur le controle n°3",2021,6,10,18,45,4),
("Controle echoue sur le controle n°3",2022,5,4,15,45,4),
("Controle echoue sur le controle n°2",2022,6,3,5,45,1),
("Controle echoue sur le controle n°2",2018,5,9,16,49,1),
("Controle echoue sur le controle n°1",2020,11,16,4,49,3),
("Controle echoue sur le controle n°1",2018,9,6,16,49,3),
("Controle echoue sur le controle n°3",2021,7,14,6,49,4),
("Controle echoue sur le controle n°2",2020,5,20,13,52,1),
("Controle echoue sur le controle n°1",2020,11,4,3,52,3),
("Controle echoue sur le controle n°2",2022,12,18,16,54,1),
("Controle echoue sur le controle n°3",2019,4,11,5,54,4),
("Controle echoue sur le controle n°1",2019,1,28,6,57,3),
("Controle echoue sur le controle n°1",2018,6,3,5,57,3),
("Controle echoue sur le controle n°2",2019,1,14,23,57,1),
("Controle echoue sur le controle n°1",2019,8,1,4,60,3),
("Controle echoue sur le controle n°2",2018,9,16,21,60,1),
("Controle echoue sur le controle n°2",2021,1,17,12,60,1),
("Controle echoue sur le controle n°2",2021,6,11,13,60,1),
("Controle echoue sur le controle n°2",2019,5,10,4,60,1),
("Controle echoue sur le controle n°3",2021,12,26,7,60,4),
("Controle echoue sur le controle n°2",2019,8,10,14,63,1),
("Controle echoue sur le controle n°3",2018,3,2,2,63,4),
("Controle echoue sur le controle n°3",2021,6,2,1,65,4),
("Controle echoue sur le controle n°2",2021,4,18,2,65,1),
("Controle echoue sur le controle n°3",2020,7,23,14,3,4),
("Controle echoue sur le controle n°1",2022,11,23,19,3,3),
("Controle echoue sur le controle n°1",2022,12,9,8,3,3),
("Controle echoue sur le controle n°1",2021,1,9,14,3,3),
("Controle echoue sur le controle n°1",2022,2,17,18,4,3),
("Controle echoue sur le controle n°1",2020,8,8,9,4,3),
("Controle echoue sur le controle n°2",2019,10,3,4,6,1),
("Controle echoue sur le controle n°3",2021,5,2,1,6,4),
("Controle echoue sur le controle n°3",2018,8,26,6,6,4),
("Controle echoue sur le controle n°2",2021,8,26,21,6,1),
("Controle echoue sur le controle n°3",2022,11,12,15,12,4),
("Controle echoue sur le controle n°1",2018,10,15,8,12,3),
("Controle echoue sur le controle n°3",2022,1,27,14,12,4),
("Controle echoue sur le controle n°1",2019,5,17,11,12,3),
("Controle echoue sur le controle n°2",2020,9,4,10,13,1),
("Controle echoue sur le controle n°1",2022,4,14,10,13,3),
("Controle echoue sur le controle n°3",2018,3,8,20,13,4),
("Controle echoue sur le controle n°2",2019,6,18,22,15,1),
("Controle echoue sur le controle n°2",2018,2,13,12,15,1),
("Controle echoue sur le controle n°1",2021,2,6,3,15,3),
("Controle echoue sur le controle n°1",2018,9,13,7,15,3),
("Controle echoue sur le controle n°2",2019,5,21,22,15,1),
("Controle echoue sur le controle n°2",2019,3,27,15,20,1),
("Controle echoue sur le controle n°3",2021,12,10,22,20,4),
("Controle echoue sur le controle n°3",2022,12,26,6,28,4),
("Controle echoue sur le controle n°1",2018,7,14,4,28,3),
("Controle echoue sur le controle n°2",2018,8,15,5,28,1),
("Controle echoue sur le controle n°2",2018,6,18,5,28,1),
("Controle echoue sur le controle n°3",2018,12,13,5,28,4),
("Controle echoue sur le controle n°1",2018,3,22,9,38,3),
("Controle echoue sur le controle n°2",2022,1,15,19,38,1),
("Controle echoue sur le controle n°3",2021,4,8,23,38,4),
("Controle echoue sur le controle n°1",2022,5,15,22,40,3),
("Controle echoue sur le controle n°3",2022,11,26,8,40,4),
("Controle echoue sur le controle n°2",2019,2,5,20,40,1),
("Controle echoue sur le controle n°1",2021,10,12,11,40,3),
("Controle echoue sur le controle n°3",2022,9,9,4,40,4),
("Controle echoue sur le controle n°2",2019,1,1,3,40,1),
("Controle echoue sur le controle n°2",2022,3,18,23,50,1),
("Controle echoue sur le controle n°3",2021,7,7,11,50,4),
("Controle echoue sur le controle n°1",2018,3,2,18,50,3),
("Controle echoue sur le controle n°1",2019,10,2,1,51,3),
("Controle echoue sur le controle n°3",2022,1,10,23,51,4),
("Controle echoue sur le controle n°2",2019,4,28,9,51,1),
("Controle echoue sur le controle n°2",2022,4,11,15,55,1),
("Controle echoue sur le controle n°2",2018,10,6,22,55,1),
("Controle echoue sur le controle n°2",2020,9,22,20,55,1),
("Controle echoue sur le controle n°2",2018,7,5,13,55,1),
("Controle echoue sur le controle n°1",2020,4,12,1,58,3),
("Controle echoue sur le controle n°1",2020,1,27,16,58,3),
("Controle echoue sur le controle n°1",2022,2,22,12,58,3),
("Controle echoue sur le controle n°1",2021,6,26,21,59,3),
("Controle echoue sur le controle n°1",2019,1,13,22,59,3),
("Controle echoue sur le controle n°3",2018,10,27,23,59,4),
("Controle echoue sur le controle n°2",2020,1,13,18,59,1),
("Controle echoue sur le controle n°1",2021,8,20,12,64,3),
("Controle echoue sur le controle n°2",2022,1,26,20,64,1),
("Controle echoue sur le controle n°2",2018,5,25,1,1,1),
("Controle echoue sur le controle n°2",2019,8,12,11,1,1),
("Controle echoue sur le controle n°3",2020,6,11,20,1,4),
("Controle echoue sur le controle n°1",2021,2,26,12,5,3),
("Controle echoue sur le controle n°3",2019,1,20,13,5,4),
("Controle echoue sur le controle n°1",2019,6,19,23,5,3),
("Controle echoue sur le controle n°3",2018,9,21,13,5,4),
("Controle echoue sur le controle n°2",2022,8,4,17,9,1),
("Controle echoue sur le controle n°1",2020,11,26,8,9,3),
("Controle echoue sur le controle n°1",2020,2,24,2,9,3),
("Controle echoue sur le controle n°1",2018,9,1,21,10,3),
("Controle echoue sur le controle n°3",2022,2,22,23,10,4),
("Controle echoue sur le controle n°1",2022,12,15,11,10,3),
("Controle echoue sur le controle n°3",2019,5,14,14,17,4),
("Controle echoue sur le controle n°1",2021,1,9,5,17,3),
("Controle echoue sur le controle n°2",2022,8,7,8,18,1),
("Controle echoue sur le controle n°2",2022,5,25,15,18,1),
("Controle echoue sur le controle n°2",2020,2,22,2,18,1),
("Controle echoue sur le controle n°1",2019,5,4,6,18,3),
("Controle echoue sur le controle n°2",2019,7,13,16,22,1),
("Controle echoue sur le controle n°1",2021,3,26,18,22,3),
("Controle echoue sur le controle n°1",2021,2,21,19,22,3),
("Controle echoue sur le controle n°3",2019,4,18,8,24,4),
("Controle echoue sur le controle n°1",2022,5,12,7,25,3),
("Controle echoue sur le controle n°3",2020,6,25,5,25,4),
("Controle echoue sur le controle n°2",2018,1,17,6,25,1),
("Controle echoue sur le controle n°2",2019,4,24,10,25,1),
("Controle echoue sur le controle n°2",2020,6,13,9,25,1),
("Controle echoue sur le controle n°3",2021,4,2,7,26,4),
("Controle echoue sur le controle n°2",2022,5,19,19,26,1),
("Controle echoue sur le controle n°3",2018,12,11,11,26,4),
("Controle echoue sur le controle n°3",2018,8,16,4,30,4),
("Controle echoue sur le controle n°1",2019,3,4,17,30,3),
("Controle echoue sur le controle n°1",2020,3,24,4,30,3),
("Controle echoue sur le controle n°1",2020,9,23,18,30,3),
("Controle echoue sur le controle n°2",2021,2,20,8,30,1),
("Controle echoue sur le controle n°3",2021,9,14,10,30,4),
("Controle echoue sur le controle n°3",2020,9,6,8,33,4),
("Controle echoue sur le controle n°2",2020,7,23,18,33,1),
("Controle echoue sur le controle n°3",2019,8,1,19,33,4),
("Controle echoue sur le controle n°1",2018,10,25,22,33,3),
("Controle echoue sur le controle n°1",2019,4,27,16,34,3),
("Controle echoue sur le controle n°1",2021,10,25,17,36,3),
("Controle echoue sur le controle n°3",2021,12,27,1,36,4),
("Controle echoue sur le controle n°1",2019,2,17,17,36,3),
("Controle echoue sur le controle n°1",2019,5,24,3,41,3),
("Controle echoue sur le controle n°2",2021,5,8,2,41,1),
("Controle echoue sur le controle n°3",2021,11,6,19,41,4),
("Controle echoue sur le controle n°1",2021,6,24,18,41,3),
("Controle echoue sur le controle n°1",2022,12,8,9,43,3),
("Controle echoue sur le controle n°3",2021,8,9,9,43,4),
("Controle echoue sur le controle n°3",2022,7,12,6,43,4),
("Controle echoue sur le controle n°2",2018,2,8,7,46,1),
("Controle echoue sur le controle n°3",2020,2,17,16,46,4),
("Controle echoue sur le controle n°3",2018,11,23,15,46,4),
("Controle echoue sur le controle n°1",2020,5,16,12,47,3),
("Controle echoue sur le controle n°2",2018,5,1,9,47,1),
("Controle echoue sur le controle n°3",2019,7,4,23,48,4),
("Controle echoue sur le controle n°1",2022,1,4,3,48,3),
("Controle echoue sur le controle n°1",2021,9,2,21,53,3),
("Controle echoue sur le controle n°2",2022,8,27,8,53,1),
("Controle echoue sur le controle n°1",2018,6,1,11,53,3),
("Controle echoue sur le controle n°3",2019,2,27,14,56,4),
("Controle echoue sur le controle n°3",2018,10,3,10,56,4),
("Controle echoue sur le controle n°1",2018,5,22,19,56,3),
("Controle echoue sur le controle n°1",2022,7,13,10,61,3),
("Controle echoue sur le controle n°1",2018,11,6,20,61,3),
("Controle echoue sur le controle n°1",2020,11,6,19,61,3),
("Controle echoue sur le controle n°3",2020,12,18,11,61,4),
("Controle echoue sur le controle n°3",2018,9,20,12,62,4),
("Controle echoue sur le controle n°2",2022,4,3,16,62,1),
("Controle echoue sur le controle n°1",2019,7,1,9,62,3),
("Controle echoue sur le controle n°1",2021,2,16,22,62,3),
("Controle echoue sur le controle n°3",2019,12,2,23,2,4),
("Controle echoue sur le controle n°1",2019,10,17,22,2,3),
("Controle echoue sur le controle n°1",2018,6,17,3,2,3),
("Controle echoue sur le controle n°2",2019,11,15,2,2,1),
("Controle echoue sur le controle n°3",2022,10,15,2,7,4),
("Controle echoue sur le controle n°1",2020,3,7,20,7,3),
("Controle echoue sur le controle n°1",2021,4,4,22,7,3),
("Controle echoue sur le controle n°2",2022,10,20,9,8,1),
("Controle echoue sur le controle n°3",2022,8,19,10,11,4),
("Controle echoue sur le controle n°3",2019,3,25,22,11,4),
("Controle echoue sur le controle n°1",2021,3,8,23,11,3),
("Controle echoue sur le controle n°1",2018,4,5,20,14,3),
("Controle echoue sur le controle n°2",2020,4,24,23,14,1),
("Controle echoue sur le controle n°2",2019,8,8,23,14,1),
("Controle echoue sur le controle n°2",2022,2,16,12,14,1),
("Controle echoue sur le controle n°2",2020,7,5,9,14,1),
("Controle echoue sur le controle n°1",2020,11,12,7,16,3),
("Controle echoue sur le controle n°2",2019,6,14,22,19,1),
("Controle echoue sur le controle n°3",2018,5,4,6,19,4),
("Controle echoue sur le controle n°3",2020,9,7,14,19,4),
("Controle echoue sur le controle n°3",2018,6,16,15,21,4),
("Controle echoue sur le controle n°3",2020,2,5,15,21,4),
("Controle echoue sur le controle n°3",2021,12,24,21,21,4),
("Controle echoue sur le controle n°3",2019,12,3,23,21,4),
("Controle echoue sur le controle n°2",2021,6,16,22,23,1),
("Controle echoue sur le controle n°3",2019,1,23,1,23,4),
("Controle echoue sur le controle n°2",2018,2,16,13,23,1),
("Controle echoue sur le controle n°3",2019,7,23,23,23,4),
("Controle echoue sur le controle n°2",2018,12,7,23,27,1),
("Controle echoue sur le controle n°3",2020,8,28,14,27,4),
("Controle echoue sur le controle n°3",2021,12,2,17,29,4),
("Controle echoue sur le controle n°3",2018,10,25,8,31,4),
("Controle echoue sur le controle n°2",2018,12,20,9,31,1),
("Controle echoue sur le controle n°2",2019,12,10,21,32,1),
("Controle echoue sur le controle n°2",2020,9,26,18,32,1),
("Controle echoue sur le controle n°3",2022,6,20,5,32,4),
("Controle echoue sur le controle n°1",2021,5,17,15,35,3),
("Controle echoue sur le controle n°2",2020,10,4,3,35,1),
("Controle echoue sur le controle n°2",2018,10,11,5,35,1),
("Controle echoue sur le controle n°2",2021,8,22,16,35,1),
("Controle echoue sur le controle n°3",2018,1,27,13,37,4),
("Controle echoue sur le controle n°3",2021,6,14,17,37,4),
("Controle echoue sur le controle n°3",2018,5,13,9,39,4),
("Controle echoue sur le controle n°3",2020,9,23,22,39,4),
("Controle echoue sur le controle n°2",2022,5,14,2,39,1),
("Controle echoue sur le controle n°1",2018,2,21,18,42,3),
("Controle echoue sur le controle n°1",2019,12,26,18,42,3),
("Controle echoue sur le controle n°2",2018,2,26,9,42,1),
("Controle echoue sur le controle n°1",2018,2,6,14,45,3),
("Controle echoue sur le controle n°3",2019,10,26,2,45,4),
("Controle echoue sur le controle n°1",2020,9,14,4,49,3),
("Controle echoue sur le controle n°2",2021,2,7,7,49,1),
("Controle echoue sur le controle n°3",2019,8,28,16,52,4),
("Controle echoue sur le controle n°3",2018,8,25,8,52,4),
("Controle echoue sur le controle n°1",2022,7,12,15,54,3),
("Controle echoue sur le controle n°2",2020,12,26,19,54,1),
("Controle echoue sur le controle n°2",2020,8,2,9,54,1),
("Controle echoue sur le controle n°3",2020,12,10,20,54,4),
("Controle echoue sur le controle n°3",2022,9,5,6,57,4),
("Controle echoue sur le controle n°1",2019,2,27,10,57,3),
("Controle echoue sur le controle n°3",2020,9,11,17,57,4),
("Controle echoue sur le controle n°3",2019,8,27,7,57,4),
("Controle echoue sur le controle n°2",2022,8,13,8,60,1),
("Controle echoue sur le controle n°3",2022,2,7,14,60,4),
("Controle echoue sur le controle n°3",2021,9,2,8,60,4),
("Controle echoue sur le controle n°2",2020,9,26,3,60,1),
("Controle echoue sur le controle n°1",2021,7,7,21,60,3),
("Controle echoue sur le controle n°1",2019,5,26,9,60,3),
("Controle echoue sur le controle n°2",2021,12,17,9,63,1),
("Controle echoue sur le controle n°1",2021,1,5,4,63,3),
("Controle echoue sur le controle n°2",2020,4,2,11,63,1),
("Controle echoue sur le controle n°2",2021,5,5,7,63,1),
("Controle echoue sur le controle n°2",2019,2,7,2,63,1),
("Controle echoue sur le controle n°3",2019,7,3,8,65,4),
("Controle echoue sur le controle n°3",2022,1,6,6,65,4),
("Controle echoue sur le controle n°1",2021,3,25,21,65,3),
("Controle echoue sur le controle n°3",2020,8,14,4,65,4),
("Controle echoue sur le controle n°1",2022,4,1,12,3,3),
("Controle echoue sur le controle n°1",2020,3,24,16,3,3),
("Controle echoue sur le controle n°3",2018,2,20,12,4,4),
("Controle echoue sur le controle n°3",2018,6,23,1,4,4),
("Controle echoue sur le controle n°3",2019,3,26,19,4,4),
("Controle echoue sur le controle n°3",2020,4,20,19,6,4),
("Controle echoue sur le controle n°2",2019,12,28,14,6,1),
("Controle echoue sur le controle n°2",2020,6,6,3,6,1),
("Controle echoue sur le controle n°3",2020,9,7,23,12,4),
("Controle echoue sur le controle n°2",2020,1,16,4,12,1),
("Controle echoue sur le controle n°2",2020,8,15,22,12,1),
("Controle echoue sur le controle n°2",2018,12,22,21,12,1),
("Controle echoue sur le controle n°2",2020,4,1,11,12,1),
("Controle echoue sur le controle n°3",2018,6,11,19,12,4),
("Controle echoue sur le controle n°1",2022,12,8,20,13,3),
("Controle echoue sur le controle n°1",2022,2,16,10,13,3),
("Controle echoue sur le controle n°3",2018,11,28,16,13,4),
("Controle echoue sur le controle n°2",2018,12,3,15,15,1),
("Controle echoue sur le controle n°3",2021,11,1,2,15,4),
("Controle echoue sur le controle n°1",2019,1,23,12,20,3),
("Controle echoue sur le controle n°3",2020,8,3,5,20,4),
("Controle echoue sur le controle n°1",2021,3,14,14,28,3),
("Controle echoue sur le controle n°3",2022,4,25,2,28,4),
("Controle echoue sur le controle n°1",2020,10,23,10,38,3),
("Controle echoue sur le controle n°2",2018,9,11,22,38,1),
("Controle echoue sur le controle n°2",2021,7,4,17,38,1),
("Controle echoue sur le controle n°1",2021,5,12,18,40,3),
("Controle echoue sur le controle n°1",2020,2,27,16,40,3),
("Controle echoue sur le controle n°3",2020,10,9,7,50,4),
("Controle echoue sur le controle n°3",2018,11,17,2,50,4),
("Controle echoue sur le controle n°2",2019,11,11,10,51,1),
("Controle echoue sur le controle n°2",2020,8,6,11,55,1),
("Controle echoue sur le controle n°3",2022,9,10,3,55,4),
("Controle echoue sur le controle n°2",2019,2,21,23,55,1),
("Controle echoue sur le controle n°1",2022,3,15,20,58,3),
("Controle echoue sur le controle n°3",2020,8,10,5,58,4),
("Controle echoue sur le controle n°2",2020,7,22,3,58,1),
("Controle echoue sur le controle n°3",2020,4,25,15,58,4),
("Controle echoue sur le controle n°3",2019,1,15,15,59,4),
("Controle echoue sur le controle n°1",2021,8,14,13,59,3),
("Controle echoue sur le controle n°3",2021,4,12,2,59,4),
("Controle echoue sur le controle n°2",2018,4,24,15,59,1),
("Controle echoue sur le controle n°3",2018,1,23,3,64,4),
("Controle echoue sur le controle n°2",2020,3,17,3,64,1),
("Controle echoue sur le controle n°3",2021,1,18,6,64,4);

INSERT INTO entretien (titre, annee, mois, jour, heure, idborne, idtechnicien) VALUES
('entretien annuel',2018,1,1,10,1,1),
('entretien annuel',2018,1,1,10,2,1),
('entretien annuel',2018,1,1,10,3,1),
('entretien annuel',2018,1,1,10,4,1),
('entretien annuel',2018,1,1,10,5,1),
('entretien annuel',2018,1,1,10,6,1),
('entretien annuel',2018,1,1,10,7,1),
('entretien annuel',2018,1,1,10,8,1),
('entretien annuel',2018,1,1,10,9,1),
('entretien annuel',2018,1,1,10,1,8),
('entretien annuel',2018,1,1,10,2,8),
('entretien annuel',2018,1,1,10,3,8),
('entretien annuel',2018,1,1,10,4,8),
('entretien annuel',2018,1,1,10,5,8),
('entretien annuel',2018,1,1,10,6,8),
('entretien annuel',2018,1,1,10,7,8),
('entretien annuel',2018,1,1,10,8,8),
('entretien annuel',2018,1,1,10,9,8),
('entretien annuel',2018,1,1,10,10,2),
('entretien annuel',2018,1,1,10,11,2),
('entretien annuel',2018,1,1,10,12,2),
('entretien annuel',2018,1,1,10,13,2),
('entretien annuel',2018,1,1,10,14,2),
('entretien annuel',2018,1,1,10,15,2),
('entretien annuel',2018,1,1,10,16,2),
('entretien annuel',2018,1,1,10,17,2),
('entretien annuel',2018,1,1,10,18,2),
('entretien annuel',2018,1,1,10,19,2),
('entretien annuel',2018,1,1,10,20,2),
('entretien annuel',2018,1,1,10,10,9),
('entretien annuel',2018,1,1,10,11,9),
